案发时间,案件类型,区域分布,点名次数,纬度,经度
201404,诈骗,丰台区樊家村,1,39.845154,116.31192
201404,诈骗,丰台区丰台镇,1,39.870472,116.28041
201404,诈骗,丰台区马家堡,1,39.852848,116.37915
201404,诈骗,丰台区太平桥,1,39.886936,116.31668
201404,诈骗,丰台区长辛店,1,39.82419,116.2085
201404,诈骗,海淀区大钟寺,1,39.9641,116.34217
201404,诈骗,海淀区东升,3,39.9953,116.3344
201404,诈骗,海淀区万寿路,1,39.907696,116.29512
201404,诈骗,石景山区八角,2,39.91396,116.203415
201404,诈骗,石景山区新古城,1,39.906612,116.222984
201404,诈骗,西城区白纸坊,1,39.879333,116.359245
201404,诈骗,西城区福绥境,1,39.927425,116.3606
201404,诈骗,西城区陶然亭,1,39.88038,116.38483
201404,诈骗,西城区天宁寺,1,39.894356,116.346
201404,诈骗,西城区西长安街,1,39.907326,116.38488
201405,扒窃,朝阳区奥运村,1,39.999767,116.37246
201405,扒窃,朝阳区和平街,1,39.9647,116.42
201405,扒窃,东城区崇文门,1,39.901234,116.42211
201405,扒窃,丰台区大红门,3,39.83914,116.40512
201405,扒窃,海淀区大钟寺,1,39.9641,116.34217
201405,盗窃机动车,朝阳区小武基,1,39.86038,116.48931
201405,拎包盗窃,朝阳区八里庄,1,39.914806,116.48062
201405,抢劫/抢夺,朝阳区高碑店,1,39.8996,116.52837
201405,抢劫/抢夺,东城区永外,1,39.86261,116.396545
201405,抢劫/抢夺,丰台区丰台镇,1,39.870472,116.28041
201405,抢劫/抢夺,丰台区青塔,1,39.89301,116.26413
201405,撬砸汽车,朝阳区劲松,2,39.884216,116.458916
201405,撬砸汽车,朝阳区来广营,1,40.024036,116.46376
201405,撬砸汽车,朝阳区南磨房,2,39.883575,116.478
201405,撬砸汽车,丰台区方庄,1,39.864395,116.43218
201405,撬砸汽车,丰台区西局,1,39.87035,116.30693
201405,撬砸汽车,丰台区玉泉营,1,39.846184,116.350975
201405,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201405,撬砸汽车,海淀区苏家坨,1,40.08027,116.16458
201405,撬砸汽车,海淀区万寿寺,1,39.951084,116.312355
201405,撬砸汽车,石景山区广宁,1,39.92596,116.145035
201405,入室盗窃,朝阳区花家地,1,39.976486,116.47079
201405,入室盗窃,朝阳区南湖,1,40.001076,116.46281
201405,入室盗窃,朝阳区平房,1,39.937176,116.530685
201405,入室盗窃,朝阳区十八里店,1,39.84223,116.484985
201405,入室盗窃,东城区北新桥,1,39.94087,116.41682
201405,入室盗窃,东城区东直门,1,39.941296,116.42647
201405,入室盗窃,丰台区南苑镇,1,39.798252,116.3792
201405,入室盗窃,丰台区岳各庄,2,39.881096,116.273705
201405,入室盗窃,丰台区云岗,1,39.80503,116.17659
201405,入室盗窃,海淀区恩济庄,1,39.9275,116.28275
201405,入室盗窃,海淀区马连洼,1,40.032078,116.27776
201405,入室盗窃,海淀区田村,1,39.93033,116.244995
201405,入室盗窃,海淀区永丰,1,40.06327,116.24975
